,Car Inventory (https://www.edmunds.com/inventory/srp.html) ,,,,,
,,,,,,
,Make,Model,Color,Mileage,Price,
,Chevrolet,Bolt,EUV,"106,341","$33,900 ",
,Jeep,Grand Cherokee L,Diamond Black Crystal Pearl,"          7, 485","$38, 395",
,Chevrolet,Silverado,Black,"7,485","$66,480 ",
,Mazda,3,Jet Black Mica,"3,363","$29,990 ",
,Ford,F-250 Super Duty,Dark Blue Pearl Clearcoat Metallic,"    135, 895","                                                                                                                                                                                                                                                    $9, 995",
,Acura,RDX,Fathom Blue Pearl,"19, 947","$29, 490",
,BMW,3 Series ,Mineral White Metallic,"20, 659","$26, 990",
,BMW,5 Series,Alpine White,"38,020","$26,490 ",
,Infiniti,QX60,Majestic White,"68,058","$21, 990",
,Kia,Forte,Gravity Gray,"45, 772","$14, 490",
,Mercedes-Benz,C-Class,Selemite Gray Metallic,"35, 384","$24, 990",
,BMW,X5,Phytonic Blue Metallic,"59, 001","$44, 490",
,Hyundai,Kona,Sonic Silver,"13, 251","$15, 990",
,BMW,8 Series,Alpine White,"13,023","$67,990 ",
,Nissan,Altima,Pearl White Coat,"21,225","$20,990 ",
,BMW,i7,Alpine White,"1,527","$79,971 ",
,BMW,iX,Alpine White,"5, 266","$66,478 ",
,Dodge,Grand Caravan,Red Pearl Coat,"100, 670","$8,995 ",
,Volkswagen,Atlas,Deep Black Pearl,"13, 516","$32, 596",
,Porsche,Cayenne,Black,"127,422","$16,986 ",
,Jeep,Wrangler,Black Leather,"100,740","$20,275 ",
,Chevrolet,Equinox,Midnight Blue Metallic,"49,301","$15,995 ",
,Volkswagen,Golf GTI,Opal White Pearl,"13,455","$24,996 ",
,Genesis,G70,Cavendish Red,"3,600","$44,000 ",
,Volvo,XC60,Crystal White Metallic,"33, 208","$35,000 ",
,Jeep ,Gladiator,Black Clear Coat,"6,991","$33,997 ",
,Chevrolet,Corvette,LeMans Blue Metallic,"59,609","$19,450 ",
,Buick,Encore GX,Cinnabar Metallic,"14,706","$20,000 ",
,Mercedes-Benz,GLE Class,Black,"5,896","$67,891 ",
,BMW,i7,Brooklyn Grey Metallic,"2,116","$86, 165",
,Dodge,Charger,F8 Green,"42,071","$28,895 ",
,Toyota,Sienna,Cypress Pearl,"239,088","$5,444 ",
,Honda,Civic,Smoky Mauve Pearl,"35,931","$25,700 ",
,Kia,Sorento,Sangria,"63,906","$13,495 ",
,Mitsubishi,Mirage,Plasma Purple,"101,938","$5,950 ",
,Honda,Fit,Passion Beary Pearl,"87,115","$12,000 ",
,Cadillac,CTS Coupe,Majestic Plum Metallic,"71,088","$14,995 ",
,Toyota ,RAV4,Black Currant Metallic,"87,512","$18,080 ",
,Dodge,Challenger,Plum Crazy Pearl Coat,"3, 854","$51,888 ",
,Ford ,Expedition,Jewel Red Metallic Tinted Clearcoat,"21, 313","$55, 990",
,Chevrolet,Spark,Passion Fruit Metallic,"61,017","$13,799 ",
,Honda,HR-V,Mulberry Metallic,"33,754","$17,292 ",
,Acura,TLX,Phantom Violet Pearl,"15, 553","$27,093 ",
,Ford,Mustang,Mischievous Purple Metallic,"31, 932","$25, 990",
,Jeep,Wrangler JK,Xtreme Purple Pear Coat,"88, 166","$22, 949",
,Honda,HR-V,Mulberry Metallic,"46, 782","$19,998 ",
,Dodge,Durango,In-Violet Clear Coat,"33,839","$26, 998",
,Mazda,CX-7,Black Cherry Mica,"89,525","$7,495 ",
,Lexus,ES 350,Nightfall Mica,"23,310","$33,888 ",
,Honda,Accord,Still Night Pearl,"50, 344","                                                                                        $21, 957",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
